Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2205,2471,-1.28128422303214,-3.92945137451489,-0.0235942670167901,-0.000500,0.002718,-0.006931,-0.000100,0.092312,323.167379,24.363395,0.999375,0.988235,0.004560,0.249791,-0.000032,-0.000023,0.000008,-0.000019,-0.000036,60.160047,0.000056,
2085,2156,-3.8411238673124,-10.8183426112856,-0.00617279420487193,-0.000222,0.002759,-0.007484,0.012189,0.097290,328.979933,24.704704,0.999108,0.985080,0.004889,0.174743,-0.000045,-0.000003,0.000015,0.000002,-0.000050,71.805400,0.000056,
2115,2201,-3.1940805301382,-9.83382537881998,-0.00244795637411244,-0.000049,0.003250,-0.009580,0.026999,0.114677,328.145246,24.534160,0.998295,0.980605,0.005414,0.217919,-0.000036,0.000012,0.000006,0.000012,-0.000037,83.392857,0.000038,
2400,2846,2.89228492565519,4.25209392144579,-0.0315303984043567,-0.000679,0.002744,-0.010322,0.007280,0.087118,316.701840,25.085900,0.999564,0.991269,0.003718,0.206256,-0.000035,-0.000035,-0.000015,-0.000020,-0.000051,-45.045303,0.000073,
2190,2441,-1.60195560858415,-4.58453351409374,-0.017195137189276,-0.000295,0.002674,-0.007509,0.010847,0.106315,323.770701,24.429989,0.999080,0.987338,0.004618,0.201037,-0.000023,-0.000027,0.000011,-0.000014,-0.000036,39.331895,0.000051,
2220,2501,-0.959383373741105,-3.27390792390786,-0.0215351492830678,-0.000251,0.003017,-0.010310,0.022510,0.106309,322.671277,24.411868,0.999494,0.990238,0.003921,0.220128,-0.000041,-0.000028,0.000003,-0.000028,-0.000041,77.543566,0.000070,
2115,2216,-3.19681518771414,-9.50509204226863,-0.0037940963196661,-0.000164,0.002797,-0.007713,0.016109,0.093205,327.876560,24.582131,0.998619,0.983011,0.005185,0.154390,-0.000032,0.000007,0.000012,0.000010,-0.000035,73.697579,0.000036,
2355,2756,1.92952020377031,2.29076071571221,-0.0372346425167507,-0.000886,0.002333,-0.004260,-0.024787,0.106464,318.098616,24.753493,0.999478,0.991460,0.003601,0.267153,-0.000027,-0.000029,0.000008,-0.000020,-0.000035,41.053015,0.000056,
2325,2696,1.28906151620019,0.981797324032911,-0.0323396963908067,-0.000421,0.002818,-0.005596,0.001030,0.111921,319.169808,24.573868,0.999564,0.991987,0.003729,0.301333,-0.000015,-0.000022,0.000001,-0.000015,-0.000023,8.670441,0.000038,
2295,2651,0.644429070850141,-3.93483919012283E-05,-0.0303526625962718,-0.000648,0.002103,-0.004256,-0.014593,0.090200,319.941802,24.521259,0.999194,0.988117,0.004169,0.245890,-0.000033,-0.000019,-0.000003,-0.000018,-0.000033,-78.378498,0.000052,
