Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2236,3133,-0.572380469965498,10.6133350934255,0.0172833309987368,0.004066,0.000750,0.005668,0.169331,0.065614,313.045614,25.075587,0.999670,0.992101,0.003707,0.367065,-0.000012,-0.000038,-0.000003,-0.000011,-0.000038,-7.097518,0.000052,
2446,2773,4.05716488097975,2.80516323515433,-0.0380388231328084,0.003833,0.001173,-0.006198,0.199601,0.029388,318.447733,24.608165,0.999460,0.988612,0.004320,0.432964,-0.000001,-0.000007,-0.000014,0.000010,-0.000018,-39.499495,0.000019,
2266,3268,0.0540260043730463,13.5417811626699,0.0153919110758238,0.003744,0.000697,0.003144,0.162476,0.051031,310.751941,25.347669,0.999649,0.993247,0.003349,0.423275,0.000011,-0.000010,0.000022,0.000025,-0.000024,32.410094,0.000028,
2116,2548,-3.08264315774943,-2.11010261989794,-0.0262712118438344,0.004098,0.000881,0.002604,0.181137,0.079874,322.613944,24.358112,0.999223,0.987782,0.004432,0.473417,0.000011,0.000005,0.000022,0.000031,-0.000015,40.729444,0.000031,
2356,2323,2.1849303168678,-7.02373869630082,-0.00187382543356307,0.003426,0.000669,0.000704,0.154822,0.051158,325.919828,23.347349,0.999713,0.994455,0.003591,0.466318,-0.000034,0.000002,-0.000001,0.000002,-0.000034,-88.375292,0.000039,
2146,2698,-2.45584386633329,1.15915263891618,-0.0315219187255025,0.003657,0.000456,0.004113,0.156060,0.055880,319.989370,24.426486,0.999439,0.990219,0.003906,0.418567,0.000010,-0.000027,0.000004,0.000011,-0.000027,5.508982,0.000028,
2431,2713,3.74387070846094,1.49641881867521,-0.0201310695350685,0.004137,0.001251,-0.002684,0.200344,0.053710,319.550301,24.442454,0.999729,0.991822,0.003669,0.413164,0.000003,0.000009,-0.000016,0.000023,-0.000010,-50.598612,0.000023,
2206,2998,-1.20082536981248,7.68288347778584,-0.00716225442886298,0.004300,0.000884,-0.001233,0.202392,0.054525,315.155866,24.792624,0.999459,0.991191,0.003764,0.372874,-0.000009,-0.000020,0.000005,-0.000007,-0.000021,19.401185,0.000030,
2416,2623,3.43400157297311,-0.465958902553965,-0.0263150588697272,0.003957,0.000952,-0.000845,0.185097,0.060417,320.926085,24.138227,0.999348,0.988364,0.004183,0.435138,0.000004,-0.000014,-0.000006,0.000006,-0.000016,-17.658426,0.000016,
2161,2743,-2.13645929728044,2.13917378789483,-0.0320456259207731,0.004205,0.001002,-0.001913,0.199803,0.062927,319.241369,24.443344,0.999499,0.989480,0.004062,0.437734,0.000002,-0.000034,0.000000,0.000002,-0.000034,0.042231,0.000038,
2311,2098,1.2465784284674,-11.9526151495066,0.0136354541455148,0.003999,0.001192,-0.002830,0.193198,0.057181,329.726099,23.138932,0.999395,0.981629,0.005381,0.331454,-0.000015,-0.000006,-0.000005,-0.000004,-0.000017,-67.307224,0.000022,
2101,2458,-3.39356952558307,-4.07416749169207,-0.0167575932658792,0.004075,0.001291,-0.003058,0.196731,0.073779,324.232404,24.390880,0.999390,0.988157,0.004329,0.443850,0.000008,-0.000019,0.000005,0.000009,-0.000020,9.073369,0.000020,
2011,2053,-5.29038980794865,-12.9334904982682,0.014147154637044,0.004001,0.000295,0.002962,0.175709,0.038747,331.480156,24.980541,0.999399,0.990804,0.003971,0.298540,0.000002,-0.000026,0.000014,0.000008,-0.000032,21.902615,0.000033,
2236,3118,-0.569488546614483,10.2880058027508,0.0148132629080919,0.004055,0.001076,-0.000181,0.187878,0.056021,313.288846,25.053741,0.999582,0.991981,0.003663,0.359518,-0.000010,-0.000039,-0.000004,-0.000010,-0.000040,-7.915386,0.000053,
2506,3073,5.30494333950592,9.33225447096479,0.00177887174419311,0.003907,0.000468,0.003224,0.167312,0.045247,313.989777,25.863685,0.999637,0.991836,0.003930,0.440505,0.000013,-0.000005,0.000005,0.000014,-0.000007,15.194978,0.000014,
2341,2263,1.86944489821212,-8.33662730819675,0.00382921785222834,0.003541,0.000894,0.001118,0.158742,0.052300,326.939397,23.336004,0.999178,0.983164,0.005037,0.381093,-0.000029,-0.000009,-0.000012,-0.000003,-0.000034,-65.479040,0.000042,
